No;TEAM ;PLAYER;POSITION;GP;GS;Min;PTS;2P%;3P%;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
1;ANADOLU EFES;ADRIEN MOERMAN;Forward;34;22;25:14:00;9,3;59,3;43,6;71,4;1,3;4;5,3;0,6;0,4;0,8;0,5;0;1,4;1,6;11,8
2;ANADOLU EFES;TIBOR PLEISS;Center;34;22;17:11;9;58,6;45,5;88,9;1,6;2,5;4,1;0,6;0,3;0,6;0,4;0,2;1,6;1,2;9,9
3;ANADOLU EFES;SHANE LARKIN;Guard;33;22;31:06:00;14,6;53,5;39,7;91,2;0,2;2,7;2,9;5,3;1,3;2,4;0;0,4;1,2;4,4;18,9
4;ANADOLU EFES;RODRIGUE BEABOUIS;Guard;31;22;24:03:00;10,3;50;41,7;70;0,3;1,8;2,1;2,1;0,6;0,8;0,3;0,2;1,6;1,7;9,5
5;ANADOLU EFES;BRYANT DUNSTON;Center;31;8;18:13;7,5;73;50;68;1,5;1,8;3,4;0,9;0,9;0,6;0,9;0,2;2,7;2,3;10,6
6;ANADOLU EFES;CHRIS SINGLETON;Forward;30;13;17:15:00;3,9;50;22,2;81,8;0,8;1,9;2,7;0,4;0,9;0,6;0,2;0;2,2;1,4;4,2
7;ANADOLU EFES;ELIJAH BRYANT;Guard;30;11;17:40:00;5,1;51,7;35,3;83,3;0,6;2,2;2,8;1,2;0,6;0,9;0,1;0,4;2,1;1,1;4,9
8;ANADOLU EFES;VASILIJE MICIC;Guard;28;21;5:32;18,1;58,5;34,4;89,4;0,3;2;2,3;4,7;1,1;2,9;0;0,9;2,5;4,9;17,6
9;ANADOLU EFES;KRUNOSLAV SIMON ;Guard;25;14;21:59;7,3;54,1;28,6;90;0,4;2,5;2,9;2,6;0,5;1,4;0,1;0;1,2;1,4;8,4
10;ANADOLU EFES;JAMES ANDERSON;Forward;22;9;13:03;3,3;52,9;50;100;0,9;2,1;3;0,5;0,4;0,4;0;0,1;1,2;0,5;4,8
11;ANADOLU EFES;FILIP PETRUSEV;Center;22;4;9:18;5,2;60,6;50;76,9;0,4;1,2;1,6;0,3;0,1;0,5;0,2;0,3;0,9;1,2;5,2
12;ANADOLU EFES;ERTEN GAZI;Guard;14;0;4:53;0,5;33,3;25;33,3;0,1;0,1;0,4;0,4;0,1;0,3;0;0,1;0,9;0,4;-0,2
13;ANADOLU EFES;BUGRAHAN TUNCER;Guard;8;0;5:54;1;40;11,1;50;0,2;0,5;0,8;0,6;0,5;0,5;0;0;0,2;0,2;1,2
14;ANADOLU EFES;DOGUS BALBAY;Guard;7;0;3:08;0,1;0;0;33,3;0,1;0,6;0,7;0,3;0;0,3;0;0;0,3;0,3;0,6
15;ANADOLU EFES;TOLGA GECIM;Forward;6;2;6:31;1,3;66,7;37,5;0;0;0,3;0,3;0,7;0,2;0,8;0;0;0,3;0,3;1
16;ANADOLU EFES;YIGITCAN SAYBIR;Forward;1;0;1:26;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
17;REAL MADRID;NIGEL WILLIAMS-GOSS;Guard;25;12;16:29;5,6;43,2;27,8;80;0,5;1,7;2,2;2,2;0,4;1;0;0,2;1,8;1,5;5,3
18;REAL MADRID;FABIEN CASEUR;Forward;23;14;19:13;8,1;60,9;44,1;61,5;0,3;1;1,3;1,1;0,2;1;0;0,3;2,1;1,9;6
19;REAL MADRID;JUAN NUNEZ;Guard;9;0;4:40;1,3;23,1;66,7;0;0;0,2;0,2;0,6;0,3;0,7;0;0;0,9;0,3;0,1
20;REAL MADRID;ANTHONY RANDOLPH;Forward;13;1;9:09;3,6;53,3;26,7;88,9;0,8;1,6;2,5;0,2;0,2;0,4;0,2;0;1;0,9;4,4
21;REAL MADRID;THOMAS HEURTEL;Guard;27;14;19:20;6,2;55,6;32;75;0,6;2,7;3,22;2,2;0,8;0,4;0,2;0,1;1,3;1,1;8
